CMDLINE python mp_example3.py
MEM 17.312500 1701299793.6797
MEM 17.312500 1701299793.7800
MEM 17.312500 1701299793.8808
MEM 17.312500 1701299793.9814
MEM 17.312500 1701299794.0823
MEM 17.312500 1701299794.1828
MEM 17.312500 1701299794.2833
MEM 17.312500 1701299794.3840
MEM 17.312500 1701299794.4848
MEM 17.312500 1701299794.5855
MEM 17.312500 1701299794.6862
MEM 17.312500 1701299794.7869
MEM 17.312500 1701299794.8875
MEM 17.312500 1701299794.9879
MEM 17.312500 1701299795.0888
MEM 17.312500 1701299795.1896
MEM 17.312500 1701299795.2902
MEM 17.312500 1701299795.3909
MEM 17.312500 1701299795.4916
MEM 17.312500 1701299795.5928
MEM 17.312500 1701299795.6936
MEM 17.312500 1701299795.7940
MEM 17.312500 1701299795.8944
MEM 17.312500 1701299795.9952
MEM 17.312500 1701299796.0956
MEM 17.312500 1701299796.1962
MEM 17.312500 1701299796.2973
MEM 17.312500 1701299796.3978
MEM 17.312500 1701299796.4983
MEM 17.312500 1701299796.5995
MEM 17.312500 1701299796.7004
MEM 17.312500 1701299796.8015
MEM 17.312500 1701299796.9022
MEM 17.312500 1701299797.0031
MEM 17.312500 1701299797.1039
MEM 17.312500 1701299797.2046
MEM 17.312500 1701299797.3051
MEM 17.312500 1701299797.4060
MEM 17.312500 1701299797.5066
MEM 17.312500 1701299797.6073
MEM 17.312500 1701299797.7079
MEM 17.312500 1701299797.8090
MEM 17.312500 1701299797.9101
MEM 17.312500 1701299798.0109
MEM 17.312500 1701299798.1118
MEM 17.312500 1701299798.2133
MEM 17.312500 1701299798.3144
MEM 24.941406 1701299798.4148
MEM 24.941406 1701299798.5159
MEM 24.941406 1701299798.6171
MEM 24.941406 1701299798.7177
MEM 24.941406 1701299798.8181
MEM 24.941406 1701299798.9189
MEM 24.941406 1701299799.0197
MEM 24.941406 1701299799.1205
MEM 24.941406 1701299799.2211
MEM 24.941406 1701299799.3215
MEM 24.941406 1701299799.4223
MEM 24.941406 1701299799.5231
MEM 24.941406 1701299799.6239
MEM 24.941406 1701299799.7249
MEM 24.941406 1701299799.8254
MEM 24.941406 1701299799.9263
MEM 24.941406 1701299800.0271
MEM 24.941406 1701299800.1280
MEM 24.941406 1701299800.2290
MEM 24.941406 1701299800.3296
MEM 24.941406 1701299800.4300
MEM 24.941406 1701299800.5310
MEM 24.941406 1701299800.6316
MEM 24.941406 1701299800.7320
MEM 24.941406 1701299800.8327
MEM 24.941406 1701299800.9336
MEM 24.941406 1701299801.0345
MEM 24.941406 1701299801.1352
MEM 24.941406 1701299801.2356
MEM 24.941406 1701299801.3365
MEM 24.941406 1701299801.4376
MEM 24.941406 1701299801.5381
MEM 24.941406 1701299801.6389
MEM 24.941406 1701299801.7398
MEM 24.941406 1701299801.8406
MEM 24.941406 1701299801.9413
MEM 24.941406 1701299802.0420
MEM 24.941406 1701299802.1425
MEM 24.941406 1701299802.2430
MEM 24.941406 1701299802.3436
MEM 24.941406 1701299802.4449
MEM 24.941406 1701299802.5463
MEM 24.941406 1701299802.6469
MEM 24.941406 1701299802.7477
MEM 24.941406 1701299802.8485
MEM 24.941406 1701299802.9508
MEM 24.941406 1701299803.0519
MEM 24.941406 1701299803.1524
MEM 24.941406 1701299803.2533
MEM 24.941406 1701299803.3539
MEM 32.570312 1701299803.4546
MEM 32.570312 1701299803.5551
MEM 32.570312 1701299803.6558
MEM 32.570312 1701299803.7564
MEM 32.570312 1701299803.8576
MEM 32.570312 1701299803.9582
MEM 32.570312 1701299804.0589
MEM 32.570312 1701299804.1594
MEM 32.570312 1701299804.2603
MEM 32.570312 1701299804.3610
MEM 32.570312 1701299804.4619
MEM 32.570312 1701299804.5629
MEM 32.570312 1701299804.6638
MEM 32.570312 1701299804.7648
MEM 32.570312 1701299804.8657
MEM 32.570312 1701299804.9667
MEM 32.570312 1701299805.0673
MEM 32.570312 1701299805.1677
MEM 32.570312 1701299805.2683
MEM 32.570312 1701299805.3696
MEM 32.570312 1701299805.4699
MEM 32.570312 1701299805.5709
MEM 32.570312 1701299805.6714
MEM 32.570312 1701299805.7724
MEM 32.570312 1701299805.8730
MEM 32.570312 1701299805.9742
MEM 32.570312 1701299806.0749
MEM 32.570312 1701299806.1753
MEM 32.570312 1701299806.2759
MEM 32.570312 1701299806.3763
MEM 32.570312 1701299806.4768
MEM 32.570312 1701299806.5777
MEM 32.570312 1701299806.6782
MEM 32.570312 1701299806.7790
MEM 32.570312 1701299806.8798
MEM 32.570312 1701299806.9806
MEM 32.570312 1701299807.0814
MEM 32.570312 1701299807.1824
MEM 32.570312 1701299807.2833
MEM 32.570312 1701299807.3841
MEM 32.570312 1701299807.4844
MEM 32.570312 1701299807.5853
MEM 32.570312 1701299807.6859
MEM 32.570312 1701299807.7865
MEM 32.570312 1701299807.8868
MEM 32.570312 1701299807.9873
MEM 32.570312 1701299808.0884
MEM 32.570312 1701299808.1894
MEM 32.570312 1701299808.2904
MEM 32.570312 1701299808.3912
MEM 40.199219 1701299808.4919
MEM 40.199219 1701299808.5930
MEM 40.199219 1701299808.6937
MEM 40.199219 1701299808.7948
MEM 40.199219 1701299808.8955
MEM 40.199219 1701299808.9962
MEM 40.199219 1701299809.0970
MEM 40.199219 1701299809.1976
MEM 40.199219 1701299809.2986
MEM 40.199219 1701299809.3999
MEM 40.199219 1701299809.5010
MEM 40.199219 1701299809.6014
MEM 40.199219 1701299809.7024
MEM 40.199219 1701299809.8028
MEM 40.199219 1701299809.9037
MEM 40.199219 1701299810.0046
MEM 40.199219 1701299810.1052
MEM 40.199219 1701299810.2060
MEM 40.199219 1701299810.3065
MEM 40.199219 1701299810.4070
MEM 40.199219 1701299810.5077
MEM 40.199219 1701299810.6082
MEM 40.199219 1701299810.7087
MEM 40.199219 1701299810.8095
MEM 40.199219 1701299810.9104
MEM 40.199219 1701299811.0114
MEM 40.199219 1701299811.1121
MEM 40.199219 1701299811.2131
MEM 40.199219 1701299811.3142
MEM 40.199219 1701299811.4149
MEM 40.199219 1701299811.5161
MEM 40.199219 1701299811.6172
MEM 40.199219 1701299811.7176
MEM 40.199219 1701299811.8181
MEM 40.199219 1701299811.9187
MEM 40.199219 1701299812.0195
MEM 40.199219 1701299812.1200
MEM 40.199219 1701299812.2207
MEM 40.199219 1701299812.3215
MEM 40.199219 1701299812.4223
MEM 40.199219 1701299812.5232
MEM 40.199219 1701299812.6238
MEM 40.199219 1701299812.7241
MEM 40.199219 1701299812.8245
MEM 40.199219 1701299812.9250
MEM 40.199219 1701299813.0256
MEM 40.199219 1701299813.1259
MEM 40.199219 1701299813.2266
MEM 40.199219 1701299813.3273
MEM 40.199219 1701299813.4279
MEM 47.828125 1701299813.5287
MEM 47.828125 1701299813.6292
MEM 47.828125 1701299813.7297
MEM 47.828125 1701299813.8305
MEM 47.828125 1701299813.9310
MEM 47.828125 1701299814.0314
MEM 47.828125 1701299814.1319
MEM 47.828125 1701299814.2348
MEM 47.828125 1701299814.3358
MEM 47.828125 1701299814.4365
MEM 47.828125 1701299814.5373
MEM 47.828125 1701299814.6380
MEM 47.828125 1701299814.7388
MEM 47.828125 1701299814.8397
MEM 47.828125 1701299814.9654
MEM 47.828125 1701299815.0664
MEM 47.828125 1701299815.1677
MEM 47.828125 1701299815.2686
MEM 47.828125 1701299815.3690
MEM 47.828125 1701299815.4696
MEM 47.828125 1701299815.5701
MEM 47.828125 1701299815.6709
MEM 47.828125 1701299815.7717
MEM 47.828125 1701299815.8723
MEM 47.828125 1701299815.9730
MEM 47.828125 1701299816.0734
MEM 47.828125 1701299816.1740
MEM 47.828125 1701299816.2745
MEM 47.828125 1701299816.3749
MEM 47.828125 1701299816.4756
MEM 47.828125 1701299816.5763
MEM 47.828125 1701299816.6767
MEM 47.828125 1701299816.7776
MEM 47.828125 1701299816.8781
MEM 47.828125 1701299816.9788
MEM 47.828125 1701299817.0797
MEM 47.828125 1701299817.1806
MEM 47.828125 1701299817.2811
MEM 47.828125 1701299817.3820
MEM 47.828125 1701299817.4837
MEM 47.828125 1701299817.5840
MEM 47.828125 1701299817.6845
MEM 47.828125 1701299817.7860
MEM 47.828125 1701299817.8870
MEM 47.828125 1701299817.9875
MEM 47.828125 1701299818.0881
MEM 47.828125 1701299818.1887
MEM 47.828125 1701299818.2894
MEM 47.828125 1701299818.3900
MEM 47.828125 1701299818.4904
MEM 89.597656 1701299818.5911
MEM 162.273438 1701299818.6917
MEM 85.976562 1701299818.7923
MEM 85.976562 1701299818.8933
MEM 85.976562 1701299818.9937
MEM 85.976562 1701299819.0943
MEM 85.976562 1701299819.1951
MEM 85.976562 1701299819.2958
MEM 85.976562 1701299819.3966
MEM 85.976562 1701299819.4971
MEM 85.976562 1701299819.5979
MEM 85.976562 1701299819.6983
MEM 85.976562 1701299819.8004
MEM 85.976562 1701299819.9011
MEM 85.976562 1701299820.0013
MEM 85.976562 1701299820.1018
MEM 85.976562 1701299820.2024
MEM 85.976562 1701299820.3030
MEM 85.976562 1701299820.4038
MEM 85.976562 1701299820.5043
MEM 85.976562 1701299820.6048
MEM 85.976562 1701299820.7055
MEM 143.226562 1701299820.8063
MEM 178.410156 1701299820.9068
MEM 238.566406 1701299821.0076
MEM 162.269531 1701299821.1083
MEM 162.269531 1701299821.2090
MEM 162.269531 1701299821.3095
MEM 162.269531 1701299821.4104
MEM 162.269531 1701299821.5112
MEM 162.269531 1701299821.6123
MEM 162.269531 1701299821.7134
MEM 162.269531 1701299821.8147
MEM 162.269531 1701299821.9152
MEM 162.269531 1701299822.0160
MEM 162.269531 1701299822.1170
MEM 162.269531 1701299822.2173
MEM 162.269531 1701299822.3180
MEM 162.269531 1701299822.4186
MEM 162.269531 1701299822.5195
MEM 162.269531 1701299822.6201
MEM 162.269531 1701299822.7208
MEM 162.269531 1701299822.8311
MEM 162.269531 1701299822.9316
MEM 162.269531 1701299823.0325
MEM 236.410156 1701299823.1329
MEM 373.234375 1701299823.2339
MEM 273.269531 1701299823.3347
MEM 314.859375 1701299823.4352
MEM 238.562500 1701299823.5362
MEM 238.562500 1701299823.6371
MEM 238.562500 1701299823.7377
MEM 238.562500 1701299823.8385
MEM 238.562500 1701299823.9390
MEM 238.562500 1701299824.0399
MEM 238.562500 1701299824.1406
MEM 238.562500 1701299824.2411
MEM 238.562500 1701299824.3419
MEM 238.562500 1701299824.4429
MEM 238.562500 1701299824.5433
MEM 238.562500 1701299824.6440
MEM 238.562500 1701299824.7447
MEM 238.562500 1701299824.8455
MEM 238.562500 1701299824.9461
MEM 238.562500 1701299825.0469
MEM 238.562500 1701299825.1477
MEM 238.562500 1701299825.2489
MEM 238.562500 1701299825.3498
MEM 238.562500 1701299825.4505
MEM 309.324219 1701299825.5512
MEM 455.593750 1701299825.6520
MEM 321.023438 1701299825.7530
MEM 391.156250 1701299825.8536
MEM 314.859375 1701299825.9543
MEM 314.859375 1701299826.0549
MEM 314.859375 1701299826.1555
MEM 314.859375 1701299826.2561
MEM 314.859375 1701299826.3574
MEM 314.859375 1701299826.4579
MEM 314.859375 1701299826.5586
MEM 314.859375 1701299826.6593
MEM 314.859375 1701299826.7601
MEM 314.859375 1701299826.8610
MEM 314.859375 1701299826.9616
MEM 314.859375 1701299827.0621
MEM 314.859375 1701299827.1628
MEM 314.859375 1701299827.2633
MEM 314.859375 1701299827.3639
MEM 314.859375 1701299827.4654
MEM 314.859375 1701299827.5666
MEM 314.859375 1701299827.6669
MEM 314.859375 1701299827.7674
MEM 314.859375 1701299827.8685
MEM 404.714844 1701299827.9690
MEM 550.089844 1701299828.0698
MEM 632.902344 1701299828.1704
MEM 396.910156 1701299828.2710
MEM 454.410156 1701299828.3717
MEM 467.449219 1701299828.4722
MEM 391.152344 1701299828.5733
MEM 391.152344 1701299828.6740
MEM 391.152344 1701299828.7751
MEM 391.152344 1701299828.8757
MEM 391.152344 1701299828.9764
MEM 391.152344 1701299829.0774
MEM 391.152344 1701299829.1780
MEM 391.152344 1701299829.2788
MEM 391.152344 1701299829.3799
MEM 391.152344 1701299829.4808
MEM 391.152344 1701299829.5817
MEM 391.152344 1701299829.6825
MEM 391.152344 1701299829.7832
MEM 391.152344 1701299829.8840
MEM 391.152344 1701299829.9853
MEM 391.152344 1701299830.0860
MEM 391.152344 1701299830.1874
MEM 391.152344 1701299830.2875
MEM 391.152344 1701299830.3881
MEM 391.152344 1701299830.4890
MEM 391.152344 1701299830.5895
MEM 391.152344 1701299830.6904
MEM 391.152344 1701299830.7912
MEM 383.921875 1701299830.8925
